# profile list

 Profile          Model                        Gateway      Alias
 ───────────────    ───────────────────────────    ───────────    ────────────
 ◆default         gpt-5.5                      running      —
  blaze           claude-opus-4-7              running      blaze
  bolt            gpt-5.5                      running      bolt
  kaijeaw         claude-opus-4-7              running      kaijeaw
  pixel           gpt-5.5                      running      pixel
  protocol        gpt-5.5                      running      protocol
  qwen            qwen3.6:35b                  running      qwen
  signal          gpt-5.5                      running      signal
  unclechris      gpt-5.5                      running      unclechris
  zegna           gpt-5.5                      running      zegna



# collected at 2026-05-16 08:34
